Name	Program 1	Program 2	Program 3	Program 4	Interests
"Baldridge, Dustin"	Biomedical Informatics and Data Science	Molecular Genetics and Genomics			"Our lab studies the genetic basis of rare Mendelian disorders and develops high-throughput cell-based assays and functional genomics techniques to experimentally characterize the effects of clinically observed variants. We also use genome sequencing and informatics approaches to increase the usability of genetic data at the bedside and improve clinical care.Ê
Lab website"
"Baldridge, Megan"	Computational and Systems Biology	Immunology	Molecular Genetics and Genomics		"I am broadly interested in the complicated interplay between three important factors: commensal microbes, the host immune system, and viral and bacterial pathogens. Previous work has involved characterization of the intestinal commensal microbiota and interrogation of its role in regulation of both enteric viral infection and the host immune system. The coordination of next-generation sequencing efforts with in vivo infections and treatments in mouse models makes the exploration of transkingdom interactions possible. Moving forward, I will be exploring inflammation in the intestine induced by commensal bacteria and by pathogens, and the signaling pathways and transcription factors that regulate it. I will also be identifying the specific commensal bacteria necessary and sufficient to enhance and regulate viral infection in the intestine, and studying viral adaptation strategies to take advantage of commensal microbes and to infect at alternate host sites. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Bambouskova, Monika"	"Biochemistry, Biophysics, and Structural Biology"	Immunology	Molecular Cell Biology		"Specific metabolic requirements of immune cells provide novel promising targets of therapeutic intervention to modulate inflammatory diseases. Bambouskova lab studies how metabolic regulation integrates with immune cell signaling. During her postdoctoral work Monika focused on metabolic rewiring in activating macrophages, particularly on the role of metabolite itaconate in regulation of macrophage inflammatory response. Her work defined a fundamentally novel connection between the cellular stress response and I_B_-mediated inflammatory axis and its therapeutic impact for a number of autoimmune diseases. Ongoing research program in the lab employs molecular biology and biochemistry techniques together with systems approaches to tackle molecular mechanisms of crosstalk between metabolism and cell signaling in the regulation of immune responses."
"Baranski, Thomas"	"Biochemistry, Biophysics, and Structural Biology"	Molecular Cell Biology	Molecular Genetics and Genomics		"Our laboratory studies signal transduction by G protein-coupled receptors, a superfamily of heptahelical transmembrane proteins. The receptors act as elegantly engineered switches, receiving signals involved in many physiologic processes - blood pressure regulation, glucose homeostasis, sight and smell - to turn on specific signaling cascades within cells. We use engineered yeast to apply the power of genetics to the study of signaling by human G protein-coupled receptors. Insights into how ligands activate receptors will aid in drug design and greatly impact medicine; more than half of currently prescribed pharmaceuticals target G protein-coupled receptors. A new project in the lab involves a model system of glucose toxicity in the simple model organism Drosophila melanogaster. We have performed screens in flies to identify genes that contribute to the effects of a high glucose diet on developing larvae. 
                        
                        
                            
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Barbour, Dennis"	Biomedical Informatics and Data Science	Neurosciences			"Dennis BarbourÕs research interests include auditory processing, cognitive neuroscience, machine learning and medical informatics. Most recently he has developed new machine learning methods for rapidly and thoroughly evaluating perception and cognition. These new tests are not only useful for exploring normal nervous system function, but also for diagnosing disorders. The principles contributing to these successful diagnostics may also lead to effective neurotherapeutics, alone or when coupled with drug or device therapies.Ê
Lab Website"
"Barch, Deanna"	Neurosciences				"My program of research is focused on understanding the interplay among cognition, emotion, and brain function to better understand the deficits in behavior and cognition found in a range of populations. These include psychiatric disorders such as schizophrenia and depression. There are several major themes guiding my work. One theme has been the contribution that cognitive control deficits make to memory, thought and language disturbances in schizophrenia. By cognitive control I mean the collection of processes involved in guiding behavior in accordance with internal as well as external goals. A second theme has been to determine the neurobiological mechanisms (i.e., prefrontal cortex and dopamine deficits) that may underlie such cognitive control deficits. A third focus is the search to understand the relationship between cognitive and emotional deficits in disorders such as schizophrenia and depression. In trying to address these issues, my work has involved both basic research designed to understand how cognitive and emotional systems normally work and clinical research focused on how and why cognitive and emotional processing can go awry."
"Bark, David"	"Biochemistry, Biophysics, and Structural Biology"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology		"My research is divided into three areas:
ThromboinflammationIt is increasingly recognized that platelets can stimulate an inflammatory response. We are investigating thromboinflammatory responses to various stimuli and how they can lead to complications in blood circulation. We are further quantifying biomechanical characteristics of these processes with an aim of identifying therapeutic targets that leverage mechanics.
Understanding the role of mechanics in heart developmentThe heart is the first organ that forms during embryogenesis. Pumping blood as an initial valveless 'straight' tube, it undergoes a series of changes as chambers become more defined and as valves form. To study embryonic heart development, we utilize zebrafish as a model, which exhibits similar heart development to humans during early stages. Our group is interested in identifying the role of mechanics in driving specific stages of heart development, relating functional, biomechanical, mechanobiological roles. Currently, we are investigating the mechanical properties of the embryonic heart and how they change as the heart transitions from a straight valveless tube to a multichambered adult heart. We are interested in understanding the role of mechanics in the formation of human congenital heart defects. For this effort, we are working with cardiologists at Children's Hospital Colorado to collect ultrasound data. This data is processed, allowing us to perform computational simulations of flow through the fetal heart. Through this approach we can identify specific flow patterns in congenital heart defects, which may lead to a better understanding of cardiac function for specific cases, while also allowing us to identify if specific patterns actually drive the formation of a defect.
Developing blood-contacting medical devicesMechanical heart valves are commonly used to replace failing heart valves, but often suffer thromboembolic complications, particularly associated with the hinge region of these valves. As such, there use has been declining. Therefore, we are investigating the thrombotic and coagulant responses of blood in this region to better identify the specific features of the hinge that can otherwise lead to complications once implanted.
Lab Website"
"Barnes, Wayne"	"Biochemistry, Biophysics, and Structural Biology"	Molecular Genetics and Genomics	Plant and Microbial Biosciences		"Our current area of active research is applying aptamer selection to target neurological diseases. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Bart, Rebecca"	Molecular Microbiology and Microbial Pathogenesis	Plant and Microbial Biosciences			"While most plants are resistant to most pathogens, when disease does occur, it can be devastating to farmers and consumers. Pesticides are often employed in an attempt to limit spread, further adding to the total cost of disease. The Bart lab focuses on exploring natural genetic diversity and exploiting identified phenotypic traits for sustainable crop improvement. The 21st century is a transformative time to be a geneticist with an affinity for agriculture because modern molecular biology tools can be readily applied to genetically intractable organisms. The disease triangle of plant pathology tells us that the host, the pathogen as well as the environment affect the observed severity of a given disease.
Lab Website"
"Bassnett, Steven"	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology			"We study the biology of the ocular lens using a wide range of modern cell and molecular biological tools.  Of particular interest are the cellular adaptations that contribute to tissue transparency and how these may be compromised during the development of cataract. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Bateman, Randall"	Biomedical Informatics and Data Science	Neurosciences			"Dr. Randall Bateman is the Charles F. and Joanne Knight Distinguished Professor of Neurology, Director of the Dominantly Inherited Alzheimer Network (DIAN), Director of the DIAN Trials Unit (DIAN-TU), Principal Investigator of the Bateman Lab, and Director of the Tracy Family Stable Isotope Labeling Quantitation (SILQ) Center for Neurodegenerative Biology. Dr. BatemanÕs research focuses on the pathophysiology and development of improved diagnostics and treatments of AlzheimerÕs disease. Dr. Bateman treats patients with dementia at the Memory Diagnostic Center of Washington University. Dr. Bateman launched the DIAN-TU Pharma Consortium in 2011 with ten major pharmaceutical companies joining to support and assist in the development of trials for autosomal dominant AlzheimerÕs disease. Dr. Bateman directs the DIAN-TU, which launched prevention trials in families with dominantly inherited AlzheimerÕs disease in 2012. The DIAN-TU trial is an advanced worldwide adaptive trial platform that tests therapeutics targeting the pathophysiology of AlzheimerÕs disease with the goal to slow, stop or reverse AlzheimerÕs disease. The DIAN-TU has launched three Phase 2/3 drug arms with a range of amyloid-beta targets and has now launched tau-directed drugs in combination with amyloid drugs and a primary prevention trial to prevent amyloid plaques from forming.Dr. BatemanÕs lab accomplishments include pioneering the central nervous system Stable Isotope Labeling Kinetics (SILK) measurements in humans, which utilizes sub-atomic labeling with stable isotopes to track in vivo protein production and clearance, leading to understanding of the time and kinetic basis of proteins leading to neurodegeneration. His lab has made major contributions to the understanding of the structures and functions of neurodegenerative proteins in pathophysiology of AlzheimerÕs disease and other neurodegenerative diseases. His lab has furthered insights of human circadian patterns of amyloid-beta and soluble amyloid precursor protein, and human in vivo control of the alpha-secretase, beta-secretase, and gamma-secretase processing of amyloid-beta. Utilizing SILK techniques, his lab also demonstrated that tau production is increased in AlzheimerÕs disease, and that novel forms of tau in the cerebrospinal fluid and blood can diagnose and stage the disease. Dr. BatemanÕs lab discovered the first high-precision blood test for AlzheimerÕs disease amyloid plaques in 2017, which is now available to doctors and patients as the first blood test to help diagnose AlzheimerÕs disease. His lab has generated the most accurate blood tests for AlzheimerÕs disease in head-to-head comparisons, rivaling that of PET and CSF tests, promising to provide accurate diagnosis and the potential for treatment of millions of patients who otherwise would not have access to accurate diagnosis. His lab completed the Study to Evaluate Amyloid in Blood and Imaging Related to Dementia (SEABIRD), enrolling over 1,100 participants in the St. Louis area to validate blood amyloid biomarkers in a diverse community-based population. Dr. Bateman is a productive innovator with 47 active or pending patents, and co-founder of C2N Diagnostics, which now provides the first high-accuracy blood test for AlzheimerÕs disease based on Dr. BatemanÕs discoveries at Washington University. Dr. Bateman has established multiple research consortiums, including the DIAN-TU Pharma Consortium, Tau SILK Consortium and the NfL Consortium, which are joint academic and industry collaborations to develop biomarkers useful for tracking and staging disease. Dr. Bateman has established the SILQ Center to further advances in neurodegeneration and aging by utilizing precise measures of neurodegenerative proteins and their production, transport, and clearance in health and disease.Dr. Bateman has received a number of awards including the Beeson Award for Aging Research, AlzheimerÕs Association Zenith FellowÕs Award, Scientific American top innovator, the Glenn Award for Aging Research, the Washington University ChancellorÕs Award for Innovation and Entrepreneurship, the MetLife Foundation Award for Medical Research, the Potamkin Prize, and the CTAD Lifetime Achievement Award in AlzheimerÕs Disease Therapeutic Research. He is a member of the American Neurological Association, the American Society for Clinical Investigation Council, and the American Academy of Neurology. He is an elected member of the National Academy of Medicine and the National Academy of Inventors.Ê
Ê
Lab Website"
"Batista, Luis"	Cancer Biology	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology		"A unique characteristic of tissue stem cells is the ability to self-renew, a process that enables the life-long maintenance of many organs. Stem cell self-renewal is dependent on the synthesis of telomere repeats by the enzyme telomerase. Defects in telomerase and in telomere maintenance genes result in diverse disease states, including dyskeratosis congenita, pulmonary fibrosis, aplastic anemia, liver cirrhosis and cancer. Many of these disease states share a tissue failure phenotype, such as loss of bone-marrow cells or failure of pulmonary epithelium, suggesting that stem cell dysfunction is a common pathophysiological mechanism underlying these telomere diseases. My lab is interested in deciphering the molecular mechanisms behind telomere-induced stem cell disease and for that we are using a variety of methods, from classic biochemistry to recently developed gene targeting techniques, to understand and restore telomere homeostasis in human stem cells with deficient telomerase. Our goal is to provide the molecular knowledge necessary for new treatment options for these syndromes. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Baxter, Ivan"	Computational and Systems Biology	Plant and Microbial Biosciences			"Understanding how plants regulate element composition of tissues is critical for agriculture, the environment, and human health. Sustainably meeting the increasing food and biofuel demands of the planet will require growing crops with fewer inputs such as the primary macronutrients phosphorus (P) and potassium (K). P in fertilizer is non-renewable, too expensive for subsistence farmers, and inefficiently utilized by crops, leading to runoff and severe downstream ecological consequences. Plants comprise the major portion of the human diet, and improving their elemental nutrient content can greatly affect human health. However, efforts directed at a single element can have unforeseen deleterious effects. For example, limiting iron (Fe) or P can lead to increased accumulation of the toxic elements cadmium (Cd) and arsenic (As).Ê
The Baxter lab is interested in understanding how plants regulate the mobilization, uptake, translocation, and storage of elements in different environments. We are focusing our efforts on the seeds of corn and soybeans, the two most commonly grown crops in the United States. The seeds are important not only as the component of the plant that gets used for food, but also as a summary tissue of many physiological processes that are important for plant growth. We also study model systems to understand basic processes and apply this knowledge to the crop plants.Ê
Lab Website"
"Bayly, Philip"	"Biochemistry, Biophysics, and Structural Biology"	Neurosciences			"My research involves the measurement and modeling of dynamic mechanical phenomena in biological systems. In collaboration with Jin-Yu Shao (biomedical engineering) and Susan Dutcher (genetics), I study flagellar waveforms and measure mechanical properties of flagella using an optical trap system. We are currently extending this approach to characterize the elastic properties and active behavior of human cilia. With Larry Taber (biomedical engineering) and Anders Carlsson, I have built mathematical models of the subcellular and tissue-scale biomechanical processes involved in morphogenesis. We have obtained quantitative measurements of deformation during development of the embryo, particularly the brain and eye. I study dynamic deformation and mechanical properties of the brain in the context of traumatic brain injury. These projects exploit advanced imaging methods and image processing techniques developed specifically to quantify dynamic physical processes; they all involve collaboration between engineers and medical or biological researchers."
"Bednarski, Jeffrey"	Immunology	Molecular Cell Biology	Molecular Genetics and Genomics		"Our research focuses on the signals important in early lymphocyte development, specifically how DNA damage responses integrated with cytokine signals to direct differentiation and maturation. ÊWe study cellular pathways triggered by physiologic and genotoxic DNA breaks and how these signals balance survival, cell death and developmental programs to ensure that lymphocytes make functional antigen receptors and continue development. ÊThese mechanisms are critical for maintaining genomic integrity and errors in these pathways can lead to translocations and leukemogenesis."
"Belloy, Michael"	Biomedical Informatics and Data Science	Computational and Systems Biology	Molecular Genetics and Genomics		"Dr. Michael Belloy is currently an Assistant Professor of Neurology at Washington University in Saint Louis, within the Neurogenomics and Informatics Center (NGI). His lab is dedicated to spearheading innovative research in the field of age-related neurological and dementia disorders, employing a multi-modal, big-data approach that integrates genetics, multi-omics, imaging, biomarkers, clinical data, and histopathological data. Dr. Belloy's primary objective is to identify novel genetic risk variants for AlzheimerÕs disease, understand their molecular pathways, and leverage this knowledge for drug development and personalized genetic medicine. His current work focuses on three primary areas in the genetics of AlzheimerÕs disease: 1) Sex dimorphism, supported by an R00 grant, 2) The role of ancestry, and 3) Disease heterogeneity and resilience. Dr. Belloy also serves as the vice-chair of the Sex and Gender Differences Professional Interest Area (PIA) for the AlzheimerÕs Association.
Dr. Belloy's academic background melds data analytics, brain imaging research, neurology, AlzheimerÕs disease, population genetics, and functional genomics. Before joining Washington University, Dr. Belloy was first a postdoc and later an instructor at Stanford University in the Department of Neurology, in the lab of Dr. Michael Greicius. During this period, he centered his research efforts on identifying genetic variants that offer protection against APOE*4-related risk for AlzheimerÕs disease. He obtained funding from an AlzheimerÕs Association Research Fellowship (AARF), a Stanford ADRC developmental project, and a K99 Pathway to Independence Award. Earlier in his career, Dr. Belloy earned his PhD from the University of Antwerp (Belgium) in the lab of Annemie Van der Linden, where he conducted functional brain imaging studies to characterize neural dynamics and develop novel biomarkers for AlzheimerÕs disease using rodent models. Additionally, he secured a research grant from the International Society for Magnetic Resonance in Medicine (ISMRM) which facilitated a 6-month research stay in the lab of Dr. Shella Keilholz at Emory University.
Lab Website"
"Ben-Shahar, Yehuda"	Biomedical Informatics and Data Science	"Evolution, Ecology and Population Biology"	Molecular Genetics and Genomics		"We study the evolutionary, genetic, molecular, cellular, and behavioral mechanisms underlying the interaction of animals with their physical and social environments. We use the powerful genetic model, Drosophila melanogaster, the emerging model for social behaviors, the European honey bee Apis mellifera, and mammalian models to ask where, when, and how genome evolution, and the function of specific genes, cell types, and neuronal circuits affect behavioral plasticity and the behavioral response to specific environmental and social stimuli.Ê"
"Benzinger, Tammie"	Biomedical Informatics and Data Science	Neurosciences			"Dr. Benzinger's research focuses on translating advanced neuromagnetic resonance imaging techniques from small animal research in the department of radiology, to translational research in the Center for Clinical Imaging Research (CCIR), and into clinical practice. In particular, her current research focuses on using directional diffusivity measurements derived from diffusion tensor imaging (DTI) to measure axonal and myelin damage in pediatric and adult demyelination, dysmyelinating diseases, and as a function of aging. In addition, Dr. Benzinger combines advanced neuromagnetic resonance techniques, such as DTI and spectrosopy, and positron emission tomogrophy (PET) to study interactions between normal aging, Alzheimer's disease, depression and delerium in older adults.
Lab Website"
"Berezin, Mikhail"	"Biochemistry, Biophysics, and Structural Biology"	Biomedical Informatics and Data Science			"My interest lies in synthesis and spectroscopy of optically active compounds, such as organic and inorganic fluorescent molecules and fluorescent nanoparticles. Specifically interested in excited state reactions and their applications in imaging, diagnostics and treatment. 
                        
                        
                            
                            
                            Lab Website
                                
                            
                           
                    "
"Bergom, Carmen"	Cancer Biology	"Developmental, Regenerative and Stem Cell Biology"	Molecular Cell Biology		"My research program focuses on utilizing unique genetic models to identify new targets for improving tumor responses to radiation and to minimize damage to the heart from radiation exposure. Our laboratory aims to identify novel therapeutic targets and biomarkers of radiation-induced cardiac toxicity in order to better prevent, minimize, and treat this long-term toxicity. In addition, we are identifying host or tumor microenvironmental factors that improve the responses of breast cancer to radiation therapy.
Clinically, I treat breast cancer patients and also perform clinical trials which aim to improve cancer patient outcomes and quality of life.
Lab Website"
